,batch_size,depth,dropout,epochs,lr,width,l_train,l_test,param_norm,spectral_orig,spec,vc_dim
0,32,2,0.25,11,0.5,32,1.609464685974121,1.61523310546875,211.73451232910156,80939916288.0,9.13451283310355,68623.60246883276
1,32,2,0.25,11,0.5,64,1.478520887451172,1.4844529418945311,348.74267578125,2181138219008.0,9.226857991261085,261505.50920392727
2,32,2,0.25,11,0.5,96,1.365553132133484,1.376162109375,499.04949951171875,23757294403584.0,9.410726950602246,578692.4092803065
3,32,2,0.25,11,0.75,32,1.5024943776702882,1.50861220703125,286.4126892089844,585237323776.0,9.761623213081824,68623.60246883276
4,32,2,0.25,11,0.75,64,1.3749952617263794,1.38738037109375,481.4307556152344,19690841440256.0,9.803921417483632,261505.50920392727
5,32,2,0.25,11,0.75,96,1.2903472104263305,1.3081875610351563,671.5940551757812,176108932694016.0,9.988051165726906,578692.4092803065
6,32,2,0.25,11,1.0,32,1.4338770805358887,1.4401740844726563,382.6702880859375,3630798897152.0,9.995553697816712,68623.60246883276
7,32,2,0.25,11,1.0,64,1.2872882096099854,1.3017198608398437,614.8167114257812,104111380889600.0,10.332132641998133,261505.50920392727
8,32,2,0.25,11,1.0,96,1.1797979640579224,1.210735791015625,861.1759643554688,980501967929344.0,10.47074283608582,578692.4092803065
9,32,2,0.5,11,0.5,32,1.647818482208252,1.652047412109375,195.7499542236328,48745324544.0,9.077689639831153,68623.60246883276
10,32,2,0.5,11,0.5,64,1.5146893096923828,1.5277306640625,336.144775390625,1820130672640.0,9.297259706812927,261505.50920392727
11,32,2,0.5,11,0.5,96,1.4025040432739257,1.4133209350585938,485.2920227050781,22479308587008.0,9.611979533125876,578692.4092803065
12,32,2,0.5,11,0.75,32,1.5350758778381348,1.542181494140625,298.9728698730469,865044561920.0,9.863876434586972,68623.60246883276
13,32,2,0.5,11,0.75,64,1.4129094245147704,1.4246499755859374,442.74383544921875,12976181084160.0,9.881342971592378,261505.50920392727
14,32,2,0.5,11,0.75,96,1.3050737073135377,1.3215660400390625,629.9307250976562,134067651608576.0,10.119465151960998,578692.4092803065
15,32,2,0.5,11,1.0,32,1.47305827167511,1.4756491577148438,363.6966857910156,2859079860224.0,9.950630262853968,68623.60246883276
16,32,2,0.5,11,1.0,64,1.318439925956726,1.3339312255859375,609.2085571289062,115965943611392.0,10.603846300404228,261505.50920392727
17,32,2,0.5,11,1.0,96,1.2133391843795776,1.2385993774414064,808.0307006835938,719195595603968.0,10.60977105466707,578692.4092803065
18,32,2,0.75,11,0.5,32,1.6890360149383545,1.6904630737304687,190.304931640625,42808285184.0,9.001476670994519,68623.60246883276
19,32,2,0.75,11,0.5,64,1.511415068511963,1.5221186401367188,343.4784240722656,2618246758400.0,9.737188930962834,261505.50920392727
20,32,2,0.75,11,0.5,96,1.4447740175628663,1.4600246337890626,469.136474609375,19693327876096.0,9.760213610843358,578692.4092803065
21,32,2,0.75,11,0.75,32,1.5980530443572998,1.6011066528320312,259.4551086425781,381384708096.0,9.962372227673947,68623.60246883276
22,32,2,0.75,11,0.75,64,1.448811724319458,1.4569664916992187,435.93243408203125,13709542031360.0,10.214797803758701,261505.50920392727
23,32,2,0.75,11,0.75,96,1.3547077745819092,1.364498583984375,614.957275390625,127773324607488.0,10.315384010226081,578692.4092803065
24,32,2,0.75,11,1.0,32,1.5850845792388917,1.5870555908203126,306.98614501953125,1347497525248.0,10.393088268598351,68623.60246883276
25,32,2,0.75,11,1.0,64,1.3754798691940309,1.3874182861328126,584.2242431640625,100112927817728.0,10.67411647473484,261505.50920392727
26,32,2,0.75,11,1.0,96,1.288863236808777,1.3065276611328125,774.1082153320312,615246767063040.0,10.824647939156478,578692.4092803065
